samsung SM-G930V;7.0;1.1.6;2.3.0;video
1531775854.747;;;;;;;;;-0.002313614;0.0041339844;0.011989653;;;;;;;;;
1531775854.747;;;;;;0.0015052361;0.0050725867;1.6248728;;;;;;;;;;;;
1531775854.748;;;;;;;;;;;;;;;;9.792191;-0.049744867;0.53004265;;
1531775854.819;;;;;;;;;;;;96.96492;;;;;;;;
1531775854.791;;;;;;;;;;;;;85.16095;;;;;;;
1531775854.940;;;;;;;;;0.0063638687;0.014660161;0.0010855198;;;;;;;;;
1531775854.940;;;;;;;;;;;;;;;;9.792379;-0.05220728;0.52626383;;
1531775854.940;;;;;;0.0015139519;0.0053236866;1.6244868;;;;;;;;;;;;
1531775855.19;;;;;;;;;;;;96.964745;;;;;;;;
1531775854.991;;;;;;;;;;;;;85.148285;;;;;;;
1531775855.104;-82.6456821;40.87052161;319.0;6.067999839782715;0.0;;;;;;;;;;;;;;;
1531775855.133;;;;;;;;;-0.006170273;-3.0994043E-4;0.011366725;;;;;;;;;
1531775855.133;;;;;;;;;;;;;;;;9.792741;-0.046445;0.52005625;;
1531775855.132;;;;;;0.0015283042;0.00473609;1.623853;;;;;;;;;;;;
1531775855.219;;;;;;;;;;;;96.964745;;;;;;;;
1531775855.191;;;;;;;;;;;;;85.366295;;;;;;;
1531775855.325;;;;;;;;;;;;;;;;9.792725;-0.047204006;0.52028954;;
1531775855.325;;;;;;0.0015277627;0.0048134876;1.6238766;;;;;;;;;;;;
1531775855.325;;;;;;;;;0.011178017;0.017153881;-0.009633958;;;;;;;;;
1531775855.419;;;;;;;;;;;;96.96384;;;;;;;;
1531775855.391;;;;;;;;;;;;;86.1567;;;;;;;
1531775855.518;;;;;;;;;-0.008511543;0.007559754;0.014978647;;;;;;;;;
1531775855.517;;;;;;;;;;;;;;;;9.793058;-0.047216978;0.51396394;;
1531775855.517;;;;;;0.001542366;0.00481481;1.6232306;;;;;;;;;;;;
1531775855.619;;;;;;;;;;;;96.96366;;;;;;;;
1531775855.591;;;;;;;;;;;;;86.00555;;;;;;;
1531775855.710;;;;;;0.0015407765;0.0044463365;1.6233014;;;;;;;;;;;;
1531775855.710;;;;;;;;;-0.0011329651;0.0015063323;-0.007372439;;;;;;;;;
1531775855.709;;;;;;;;;;;;;;;;9.793039;-0.043603525;0.5146581;;
1531775855.819;;;;;;;;;;;;96.96366;;;;;;;;
1531775855.790;;;;;;;;;;;;;85.28558;;;;;;;
1531775855.891;;;;;;;;;;;;;84.99692;;;;;;;
1531775855.903;;;;;;0.0015420442;0.0046071406;1.6232451;;;;;;;;;;;;
